Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FG%.1,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
Kristaps Porziņģis,C,27.0,WAS,51.0,51.0,32.6,7.4,15.2,0.487,"0,487",2.1,5.5,0.376,5.3,9.7,0.549,0.555,5.9,7.0,0.846,1.9,6.7,8.6,2.5,0.9,1.5,2.2,3.1,22.8,
Micah Potter,PF,24.0,UTA,3.0,0.0,4.7,0.7,0.7,0.001,"1,000",0.0,0.0,,0.7,0.7,0.001,0.001,0.0,0.0,,0.3,0.7,1.0,0.7,0.0,0.0,0.0,0.7,1.3,Bad
Dwight Powell,C,31.0,DAL,57.0,45.0,19.9,2.6,3.6,0.725,"0,725",0.0,0.1,0.0,2.6,3.5,0.736,0.725,1.6,2.4,0.691,2.1,2.3,4.4,0.8,0.7,0.4,0.9,2.9,6.8,Bad
Norman Powell,SG,29.0,LAC,52.0,7.0,25.9,5.7,11.7,0.484,"0,484",2.1,4.9,0.423,3.6,6.8,0.528,0.572,3.6,4.5,0.804,0.4,2.6,3.0,1.8,0.8,0.3,1.7,2.0,17.0,Bad
Jason Preston,PG,23.0,LAC,13.0,0.0,9.4,1.4,3.2,0.439,"0,439",0.4,1.4,0.278,1.0,1.8,0.565,0.5,0.0,0.2,0.0,0.2,1.5,1.7,2.1,0.2,0.0,0.8,0.5,3.2,Bad
Joshua Primo,SG,20.0,SAS,4.0,0.0,23.3,2.3,6.5,0.346,"0,346",0.8,3.0,0.25,1.5,3.5,0.429,0.404,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0,Bad
Taurean Prince,SF,28.0,MIN,37.0,2.0,21.3,3.2,6.4,0.496,"0,496",1.4,3.4,0.397,1.8,3.0,0.609,0.602,0.8,1.0,0.833,0.3,2.1,2.4,1.6,0.5,0.4,1.2,2.4,8.5,Bad
Payton Pritchard,PG,25.0,BOS,43.0,2.0,12.5,1.8,4.5,0.402,"0,402",1.0,2.8,0.342,0.9,1.7,0.5,0.508,0.2,0.3,0.692,0.5,1.0,1.5,1.0,0.3,0.0,0.7,0.8,4.8,Bad
Trevelin Queen,SG,25.0,IND,7.0,0.0,10.0,1.0,4.1,0.241,"0,241",0.3,2.1,0.133,0.7,2.0,0.357,0.276,0.7,0.7,0.001,1.1,1.3,2.4,0.9,0.3,0.7,1.0,0.6,3.0,Bad
Neemias Queta,C,23.0,SAC,4.0,0.0,6.3,1.5,2.0,0.75,"0,750",0.0,0.0,,1.5,2.0,0.75,0.75,0.0,0.5,0.0,1.0,1.3,2.3,0.3,0.0,0.3,0.3,1.8,3.0,Bad
Immanuel Quickley,PG,23.0,NYK,62.0,10.0,27.8,4.5,10.2,0.442,"0,442",1.8,5.0,0.358,2.7,5.3,0.521,0.529,2.1,2.5,0.822,0.7,3.4,4.0,3.1,0.8,0.2,1.1,2.0,12.9,Bad
Julius Randle,PF,28.0,NYK,63.0,63.0,35.8,8.5,18.4,0.463,"0,463",2.8,8.1,0.345,5.7,10.3,0.556,0.539,5.3,7.0,0.758,2.1,8.4,10.5,4.1,0.7,0.3,2.8,3.0,25.1,Good
Austin Reaves,SG,24.0,LAL,43.0,12.0,27.7,3.4,6.8,0.502,"0,502",1.2,3.3,0.376,2.2,3.5,0.62,0.593,2.6,2.9,0.873,0.6,2.4,3.0,2.2,0.5,0.3,1.3,1.7,10.6,Bad
Cam Reddish,SF,23.0,TOT,25.0,13.0,22.9,3.3,7.4,0.451,"0,451",1.1,3.4,0.326,2.2,3.9,0.561,0.527,1.6,1.7,0.907,0.4,1.3,1.7,1.3,0.9,0.4,0.8,1.7,9.3,Bad
Cam Reddish,SF,23.0,NYK,20.0,8.0,21.9,3.1,6.8,0.449,"0,449",0.9,2.8,0.304,2.2,4.0,0.55,0.511,1.5,1.7,0.879,0.4,1.2,1.6,1.0,0.8,0.4,0.8,1.6,8.4,Bad
Cam Reddish,SF,23.0,POR,5.0,5.0,27.0,4.4,9.6,0.458,"0,458",2.2,6.0,0.367,2.2,3.6,0.611,0.573,2.0,2.0,0.001,0.6,1.8,2.4,2.6,1.6,0.2,1.2,2.2,13.0,Bad
Davon Reed,SG,27.0,TOT,38.0,1.0,8.8,0.7,2.2,0.329,"0,329",0.4,1.2,0.378,0.3,1.0,0.27,0.433,0.4,0.6,0.667,0.3,1.3,1.5,0.6,0.4,0.1,0.5,1.0,2.3,Bad
Davon Reed,SG,27.0,DEN,35.0,1.0,9.0,0.7,2.3,0.313,"0,313",0.5,1.3,0.364,0.3,1.0,0.25,0.413,0.4,0.6,0.75,0.3,1.3,1.6,0.5,0.4,0.1,0.6,1.0,2.3,Bad
Davon Reed,SG,27.0,LAL,3.0,0.0,6.0,0.7,0.7,0.001,"1,000",0.3,0.3,0.001,0.3,0.3,0.001,0.00125,0.3,1.3,0.25,0.3,0.7,1.0,0.7,0.3,0.0,0.0,0.3,2.0,Bad
Paul Reed,C,23.0,PHI,47.0,0.0,9.5,1.3,2.3,0.573,"0,573",0.0,0.1,0.0,1.3,2.3,0.594,0.573,0.4,0.5,0.75,1.2,1.9,3.1,0.3,0.6,0.6,0.6,1.8,3.1,Bad
Naz Reid,C,23.0,MIN,55.0,11.0,18.1,4.3,8.0,0.529,"0,529",1.0,3.1,0.329,3.2,4.9,0.658,0.594,1.1,1.6,0.667,1.1,3.7,4.9,1.1,0.6,0.9,1.3,2.5,10.6,Bad
Jared Rhoden,SG,23.0,DET,1.0,0.0,12.0,1.0,3.0,0.333,"0,333",0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,Bad
Nick Richards,C,25.0,CHO,48.0,0.0,17.4,3.0,4.9,0.607,"0,607",0.0,0.0,,3.0,4.9,0.607,0.607,2.1,2.8,0.733,2.4,3.4,5.8,0.5,0.2,1.0,0.8,2.3,8.0,Bad
Josh Richardson,SG,29.0,TOT,47.0,9.0,24.2,4.2,9.5,0.439,"0,439",1.7,4.9,0.349,2.5,4.6,0.535,0.529,1.3,1.5,0.861,0.7,2.1,2.8,3.2,1.2,0.3,1.5,1.9,11.4,Bad
Josh Richardson,SG,29.0,SAS,42.0,6.0,23.7,4.2,9.7,0.436,"0,436",1.8,4.9,0.357,2.5,4.7,0.518,0.527,1.3,1.4,0.883,0.7,2.1,2.8,3.3,1.0,0.3,1.5,1.7,11.5,Bad
Josh Richardson,SG,29.0,NOP,5.0,3.0,28.4,3.8,8.0,0.475,"0,475",1.2,4.4,0.273,2.6,3.6,0.722,0.55,1.8,2.4,0.75,0.2,2.2,2.4,2.8,3.2,0.6,1.2,3.8,10.6,Bad
Austin Rivers,SG,30.0,MIN,48.0,10.0,20.8,1.9,4.3,0.446,"0,446",0.9,2.5,0.355,1.0,1.7,0.578,0.551,0.6,0.8,0.769,0.1,1.6,1.7,1.5,0.6,0.1,0.5,1.7,5.3,Bad
Duncan Robinson,SF,28.0,MIA,31.0,0.0,17.7,2.2,6.1,0.356,"0,356",1.6,4.9,0.32,0.6,1.1,0.514,0.487,0.6,0.7,0.909,0.3,1.6,1.9,1.2,0.4,0.0,0.7,2.0,6.5,Bad
Mitchell Robinson,C,24.0,NYK,41.0,40.0,27.1,3.2,4.7,0.696,"0,696",0.0,0.0,,3.2,4.7,0.696,0.696,1.0,2.0,0.482,4.2,4.9,9.2,0.9,0.9,1.8,0.5,2.9,7.5,Bad
Orlando Robinson,C,22.0,MIA,29.0,1.0,13.7,1.6,3.0,0.535,"0,535",0.0,0.2,0.0,1.6,2.8,0.568,0.535,0.7,1.0,0.724,1.5,2.6,4.1,0.7,0.4,0.4,0.5,1.8,3.9,Bad
Jeremiah Robinson-Earl,PF,22.0,OKC,31.0,18.0,20.1,2.9,6.3,0.464,"0,464",1.0,2.8,0.341,2.0,3.5,0.565,0.541,0.9,1.1,0.794,1.8,2.8,4.5,1.0,0.7,0.4,0.5,1.7,7.7,Bad
Isaiah Roby,PF,24.0,SAS,42.0,2.0,11.3,1.6,3.7,0.432,"0,432",0.4,1.4,0.3,1.2,2.3,0.516,0.49,0.5,1.0,0.488,0.5,2.0,2.5,0.9,0.4,0.2,0.7,1.3,4.1,Bad
